
Using:

java: 8.0.232-open
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Primitives, fileName = /primitives/primitives-2.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 394,821 ns/op
# Warmup Iteration   2: 365,711 ns/op
# Warmup Iteration   3: 370,511 ns/op
Iteration  46: 370,435 ns/op
Iteration  47: 370,329 ns/op
Iteration  48: 368,680 ns/op
Iteration  49: 367,773 ns/op
Iteration  50: 370,122 ns/op
Iteration  51: 368,381 ns/op
Iteration  52: 368,409 ns/op
Iteration  53: 373,354 ns/op
Iteration  54: 371,238 ns/op
Iteration  55: 368,450 ns/op
Iteration  56: 371,675 ns/op
Iteration  57: 367,049 ns/op
Iteration  58: 367,213 ns/op
Iteration  59: 367,213 ns/op
Iteration  60: 366,410 ns/op
Iteration  61: 368,662 ns/op
Iteration  62: 375,577 ns/op
Iteration  63: 374,861 ns/op
Iteration  64: 368,918 ns/op
Iteration  65: 368,119 ns/op
Iteration  66: 366,516 ns/op
Iteration  67: 369,252 ns/op
Iteration  68: 368,306 ns/op
Iteration  69: 366,852 ns/op
Iteration  70: 366,684 ns/op
Iteration  71: 371,597 ns/op
Iteration  72: 366,496 ns/op
Iteration  73: 366,285 ns/op
Iteration  74: 367,600 ns/op
Iteration  75: 368,511 ns/op
Iteration  76: 369,217 ns/op
Iteration  77: 366,267 ns/op
Iteration  78: 368,580 ns/op
Iteration  79: 366,902 ns/op
Iteration  80: 370,104 ns/op
Iteration  81: 379,905 ns/op
Iteration  82: 369,335 ns/op
Iteration  83: 366,561 ns/op
Iteration  84: 367,103 ns/op
Iteration  85: 372,842 ns/op
Iteration  86: 368,485 ns/op
Iteration  87: 366,210 ns/op
Iteration  88: 369,024 ns/op
Iteration  89: 370,005 ns/op
Iteration  90: 367,159 ns/op
Iteration  91: 366,260 ns/op
Iteration  92: 368,332 ns/op
Iteration  93: 373,141 ns/op
Iteration  94: 370,458 ns/op
Iteration  95: 367,932 ns/op
Iteration  96: 369,169 ns/op
Iteration  97: 369,397 ns/op
Iteration  98: 369,249 ns/op
Iteration  99: 366,859 ns/op
Iteration 100: 367,424 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  369,208 ±(99.9%) 1,016 ns/op [Average]
  (min, avg, max) = (366,028, 369,208, 380,835), stdev = 2,997
  CI (99.9%): [368,192, 370,225] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                             (className)                     (fileName)  Mode  Cnt    Score   Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Primitives  /primitives/primitives-2.json  avgt  100  369,208 ± 1,016  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Primitives, fileName = /primitives/primitives-6.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 827,726 ns/op
# Warmup Iteration   2: 788,174 ns/op
# Warmup Iteration   3: 790,746 ns/op
Iteration   1: 798,109 ns/op
Iteration   2: 787,483 ns/op
Iteration   3: 804,562 ns/op
Iteration   4: 787,910 ns/op
Iteration   5: 795,404 ns/op
Iteration   6: 799,326 ns/op
Iteration   7: 786,949 ns/op
Iteration   8: 790,918 ns/op
Iteration   9: 786,269 ns/op
Iteration  10: 800,233 ns/op
Iteration  11: 787,460 ns/op
Iteration  12: 790,802 ns/op
Iteration  13: 809,077 ns/op
Iteration  14: 786,209 ns/op
Iteration  15: 790,970 ns/op
Iteration  16: 791,423 ns/op
Iteration  17: 786,950 ns/op
Iteration  18: 789,382 ns/op
Iteration  19: 813,157 ns/op
Iteration  20: 790,869 ns/op
Iteration  21: 787,300 ns/op
Iteration  22: 789,777 ns/op
Iteration  23: 797,193 ns/op
Iteration  24: 787,098 ns/op
Iteration  25: 789,681 ns/op
Iteration  26: 796,251 ns/op
Iteration  27: 792,662 ns/op
Iteration  28: 786,857 ns/op
Iteration  29: 786,548 ns/op
Iteration  30: 804,337 ns/op
Iteration  31: 791,677 ns/op
Iteration  32: 789,950 ns/op
Iteration  33: 797,611 ns/op
Iteration  34: 788,966 ns/op
Iteration  35: 786,913 ns/op
Iteration  36: 788,950 ns/op
Iteration  37: 798,685 ns/op
Iteration  38: 808,662 ns/op
Iteration  39: 800,078 ns/op
Iteration  40: 788,162 ns/op
Iteration  41: 791,786 ns/op
Iteration  42: 792,006 ns/op
Iteration  43: 785,762 ns/op
Iteration  44: 788,762 ns/op
Iteration  45: 799,180 ns/op
Iteration  46: 799,558 ns/op
Iteration  47: 791,554 ns/op
Iteration  48: 795,295 ns/op
Iteration  49: 789,118 ns/op
Iteration  50: 788,847 ns/op
Iteration  51: 785,403 ns/op
Iteration  52: 795,432 ns/op
Iteration  53: 786,459 ns/op
Iteration  54: 792,785 ns/op
Iteration  55: 788,053 ns/op
Iteration  56: 787,426 ns/op
Iteration  57: 788,662 ns/op
Iteration  58: 787,613 ns/op
Iteration  59: 806,632 ns/op
Iteration  60: 790,966 ns/op
Iteration  61: 791,195 ns/op
Iteration  62: 792,376 ns/op
Iteration  63: 793,483 ns/op
Iteration  64: 791,678 ns/op
Iteration  65: 787,838 ns/op
Iteration  66: 805,322 ns/op
Iteration  67: 793,179 ns/op
Iteration  68: 790,140 ns/op
Iteration  69: 808,161 ns/op
Iteration  70: 789,135 ns/op
Iteration  71: 791,627 ns/op
Iteration  72: 787,884 ns/op
Iteration  73: 795,040 ns/op
Iteration  74: 786,855 ns/op
Iteration  75: 791,538 ns/op
Iteration  76: 799,498 ns/op
Iteration  77: 787,168 ns/op
Iteration  78: 795,410 ns/op
Iteration  79: 790,174 ns/op
Iteration  80: 796,434 ns/op
Iteration  81: 797,767 ns/op
Iteration  82: 786,490 ns/op
Iteration  83: 787,821 ns/op
Iteration  84: 801,711 ns/op
Iteration  85: 787,710 ns/op
Iteration  86: 790,654 ns/op
Iteration  87: 795,595 ns/op
Iteration  88: 790,648 ns/op
Iteration  89: 788,559 ns/op
Iteration  90: 789,490 ns/op
Iteration  91: 786,537 ns/op
Iteration  92: 787,752 ns/op
Iteration  93: 794,034 ns/op
Iteration  94: 796,647 ns/op
Iteration  95: 788,456 ns/op
Iteration  96: 788,600 ns/op
Iteration  97: 785,968 ns/op
Iteration  98: 791,440 ns/op
Iteration  99: 787,051 ns/op
Iteration 100: 792,723 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  792,419 ±(99.9%) 2,049 ns/op [Average]
  (min, avg, max) = (785,403, 792,419, 813,157), stdev = 6,041
  CI (99.9%): [790,370, 794,468] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                             (className)                     (fileName)  Mode  Cnt    Score   Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Primitives  /primitives/primitives-6.json  avgt  100  792,419 ± 2,049  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Primitives, fileName = /primitives/primitives-10.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 1408,701 ns/op
# Warmup Iteration   2: 1308,412 ns/op
# Warmup Iteration   3: 1311,913 ns/op
Iteration   1: 1308,225 ns/op
Iteration   2: 1301,572 ns/op
Iteration   3: 1306,326 ns/op
Iteration   4: 1310,921 ns/op
Iteration   5: 1302,425 ns/op
Iteration   6: 1320,581 ns/op
Iteration   7: 1306,615 ns/op
Iteration   8: 1308,020 ns/op
Iteration   9: 1305,323 ns/op
Iteration  10: 1306,537 ns/op
Iteration  11: 1306,008 ns/op
Iteration  12: 1298,065 ns/op
Iteration  13: 1303,681 ns/op
Iteration  14: 1315,339 ns/op
Iteration  15: 1318,830 ns/op
Iteration  16: 1311,670 ns/op
Iteration  17: 1346,464 ns/op
Iteration  18: 1358,816 ns/op
Iteration  19: 1314,627 ns/op
Iteration  20: 1329,933 ns/op
Iteration  21: 1320,346 ns/op
Iteration  22: 1325,041 ns/op
Iteration  23: 1317,797 ns/op
Iteration  24: 1316,950 ns/op
Iteration  25: 1339,820 ns/op
Iteration  26: 1323,982 ns/op
Iteration  27: 1312,393 ns/op
Iteration  28: 1322,991 ns/op
Iteration  29: 1326,557 ns/op
Iteration  30: 1344,096 ns/op
Iteration  31: 1314,753 ns/op
Iteration  32: 1340,759 ns/op
Iteration  33: 1341,455 ns/op
Iteration  34: 1314,653 ns/op
Iteration  35: 1316,876 ns/op
Iteration  36: 1322,571 ns/op
Iteration  37: 1330,522 ns/op
Iteration  38: 1321,827 ns/op
Iteration  39: 1318,032 ns/op
Iteration  40: 1317,558 ns/op
Iteration  41: 1339,217 ns/op
Iteration  42: 1325,564 ns/op
Iteration  43: 1328,141 ns/op
Iteration  44: 1327,533 ns/op
Iteration  45: 1332,266 ns/op
Iteration  46: 1341,152 ns/op
Iteration  47: 1328,767 ns/op
Iteration  48: 1314,494 ns/op
Iteration  49: 1318,759 ns/op
Iteration  50: 1314,140 ns/op
Iteration  51: 1313,831 ns/op
Iteration  52: 1322,680 ns/op
Iteration  53: 1316,509 ns/op
Iteration  54: 1325,996 ns/op
Iteration  55: 1319,973 ns/op
Iteration  56: 1310,503 ns/op
Iteration  57: 1321,382 ns/op
Iteration  58: 1317,973 ns/op
Iteration  59: 1319,177 ns/op
Iteration  60: 1326,017 ns/op
Iteration  61: 1320,850 ns/op
Iteration  62: 1321,413 ns/op
Iteration  63: 1330,190 ns/op
Iteration  64: 1330,997 ns/op
Iteration  65: 1327,727 ns/op
Iteration  66: 1312,594 ns/op
Iteration  67: 1327,631 ns/op
Iteration  68: 1325,940 ns/op
Iteration  69: 1323,454 ns/op
Iteration  70: 1352,235 ns/op
Iteration  71: 1315,741 ns/op
Iteration  72: 1322,158 ns/op
Iteration  73: 1320,904 ns/op
Iteration  74: 1311,816 ns/op
Iteration  75: 1340,778 ns/op
Iteration  76: 1321,225 ns/op
Iteration  77: 1320,867 ns/op
Iteration  78: 1340,076 ns/op
Iteration  79: 1323,495 ns/op
Iteration  80: 1311,910 ns/op
Iteration  81: 1328,547 ns/op
Iteration  82: 1318,563 ns/op
Iteration  83: 1324,052 ns/op
Iteration  84: 1321,214 ns/op
Iteration  85: 1318,292 ns/op
Iteration  86: 1313,671 ns/op
Iteration  87: 1324,556 ns/op
Iteration  88: 1316,478 ns/op
Iteration  89: 1324,108 ns/op
Iteration  90: 1322,475 ns/op
Iteration  91: 1309,915 ns/op
Iteration  92: 1314,695 ns/op
Iteration  93: 1321,746 ns/op
Iteration  94: 1318,784 ns/op
Iteration  95: 1316,127 ns/op
Iteration  96: 1322,315 ns/op
Iteration  97: 1322,583 ns/op
Iteration  98: 1320,934 ns/op
Iteration  99: 1317,202 ns/op
Iteration 100: 1329,941 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  1321,412 ±(99.9%) 3,674 ns/op [Average]
  (min, avg, max) = (1298,065, 1321,412, 1358,816), stdev = 10,833
  CI (99.9%): [1317,738, 1325,086] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                             (className)                      (fileName)  Mode  Cnt     Score   Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Primitives  /primitives/primitives-10.json  avgt  100  1321,412 ± 3,674  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Primitives, fileName = /primitives/primitives-20.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 3472,214 ns/op
# Warmup Iteration   2: 3205,291 ns/op
# Warmup Iteration   3: 3191,157 ns/op
Iteration   1: 3182,634 ns/op
Iteration   2: 3180,650 ns/op
Iteration   3: 3228,529 ns/op
Iteration   4: 3195,816 ns/op
Iteration   5: 3174,381 ns/op
Iteration   6: 3187,509 ns/op
Iteration   7: 3183,673 ns/op
Iteration   8: 3213,365 ns/op
Iteration   9: 3219,786 ns/op
Iteration  10: 3194,771 ns/op
Iteration  11: 3166,501 ns/op
Iteration  12: 3182,547 ns/op
Iteration  13: 3187,871 ns/op
Iteration  14: 3173,405 ns/op
Iteration  15: 3214,374 ns/op
Iteration  16: 3174,266 ns/op
Iteration  17: 3172,085 ns/op
Iteration  18: 3209,335 ns/op
Iteration  19: 3199,863 ns/op
Iteration  20: 3196,801 ns/op
Iteration  21: 3159,404 ns/op
Iteration  22: 3170,590 ns/op
Iteration  23: 3164,258 ns/op
Iteration  24: 3163,876 ns/op
Iteration  25: 3183,299 ns/op
Iteration  26: 3172,788 ns/op
Iteration  27: 3197,768 ns/op
Iteration  28: 3188,242 ns/op
Iteration  29: 3192,586 ns/op
Iteration  30: 3169,768 ns/op
Iteration  31: 3163,437 ns/op
Iteration  32: 3165,153 ns/op
Iteration  33: 3179,830 ns/op
Iteration  34: 3188,446 ns/op
Iteration  35: 3165,935 ns/op
Iteration  36: 3169,204 ns/op
Iteration  37: 3236,194 ns/op
Iteration  38: 3219,557 ns/op
Iteration  39: 3168,731 ns/op
Iteration  40: 3166,003 ns/op
Iteration  41: 3178,083 ns/op
Iteration  42: 3169,160 ns/op
Iteration  43: 3187,144 ns/op
Iteration  44: 3205,139 ns/op
Iteration  45: 3196,099 ns/op
Iteration  46: 3219,114 ns/op
Iteration  47: 3273,845 ns/op
Iteration  48: 3209,005 ns/op
Iteration  49: 3194,639 ns/op
Iteration  50: 3222,132 ns/op
Iteration  51: 3237,934 ns/op
Iteration  52: 3193,931 ns/op
Iteration  53: 3200,141 ns/op
Iteration  54: 3195,171 ns/op
Iteration  55: 3194,642 ns/op
Iteration  56: 3178,492 ns/op
Iteration  57: 3201,388 ns/op
Iteration  58: 3192,240 ns/op
Iteration  59: 3203,091 ns/op
Iteration  60: 3186,957 ns/op
Iteration  61: 3184,900 ns/op
Iteration  62: 3217,233 ns/op
Iteration  63: 3189,172 ns/op
Iteration  64: 3188,136 ns/op
Iteration  65: 3188,870 ns/op
Iteration  66: 3201,872 ns/op
Iteration  67: 3218,483 ns/op
Iteration  68: 3182,212 ns/op
Iteration  69: 3206,820 ns/op
Iteration  70: 3186,899 ns/op
Iteration  71: 3184,615 ns/op
Iteration  72: 3183,702 ns/op
Iteration  73: 3185,484 ns/op
Iteration  74: 3200,295 ns/op
Iteration  75: 3184,280 ns/op
Iteration  76: 3219,061 ns/op
Iteration  77: 3191,394 ns/op
Iteration  78: 3250,007 ns/op
Iteration  79: 3190,525 ns/op
Iteration  80: 3193,389 ns/op
Iteration  81: 3184,701 ns/op
Iteration  82: 3209,501 ns/op
Iteration  83: 3214,813 ns/op
Iteration  84: 3198,420 ns/op
Iteration  85: 3203,360 ns/op
Iteration  86: 3230,642 ns/op
Iteration  87: 3214,892 ns/op
Iteration  88: 3207,728 ns/op
Iteration  89: 3227,168 ns/op
Iteration  90: 3197,923 ns/op
Iteration  91: 3196,747 ns/op
Iteration  92: 3222,334 ns/op
Iteration  93: 3196,802 ns/op
Iteration  94: 3213,351 ns/op
Iteration  95: 3208,630 ns/op
Iteration  96: 3191,808 ns/op
Iteration  97: 3196,138 ns/op
Iteration  98: 3221,845 ns/op
Iteration  99: 3240,746 ns/op
Iteration 100: 3196,641 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  3195,831 ±(99.9%) 7,097 ns/op [Average]
  (min, avg, max) = (3159,404, 3195,831, 3273,845), stdev = 20,927
  CI (99.9%): [3188,734, 3202,929] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                             (className)                      (fileName)  Mode  Cnt     Score   Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Primitives  /primitives/primitives-20.json  avgt  100  3195,831 ± 7,097  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Objects, fileName = /objects/objects-2.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 401,541 ns/op
# Warmup Iteration   2: 380,027 ns/op
# Warmup Iteration   3: 377,366 ns/op
Iteration   1: 381,277 ns/op
Iteration   2: 382,003 ns/op
Iteration   3: 376,640 ns/op
Iteration   4: 375,939 ns/op
Iteration   5: 375,333 ns/op
Iteration   6: 378,927 ns/op
Iteration   7: 377,550 ns/op
Iteration   8: 382,452 ns/op
Iteration   9: 374,926 ns/op
Iteration  10: 376,612 ns/op
Iteration  11: 375,380 ns/op
Iteration  12: 376,267 ns/op
Iteration  13: 377,410 ns/op
Iteration  14: 376,575 ns/op
Iteration  15: 376,277 ns/op
Iteration  16: 376,296 ns/op
Iteration  17: 378,223 ns/op
Iteration  18: 378,351 ns/op
Iteration  19: 380,247 ns/op
Iteration  20: 377,260 ns/op
Iteration  21: 378,590 ns/op
Iteration  22: 379,065 ns/op
Iteration  23: 376,646 ns/op
Iteration  24: 375,930 ns/op
Iteration  25: 380,925 ns/op
Iteration  26: 377,534 ns/op
Iteration  27: 376,611 ns/op
Iteration  28: 377,014 ns/op
Iteration  29: 380,702 ns/op
Iteration  30: 377,435 ns/op
Iteration  31: 376,316 ns/op
Iteration  32: 375,962 ns/op
Iteration  33: 376,848 ns/op
Iteration  34: 380,113 ns/op
Iteration  35: 378,284 ns/op
Iteration  36: 379,680 ns/op
Iteration  37: 379,650 ns/op
Iteration  38: 385,372 ns/op
Iteration  39: 380,343 ns/op
Iteration  40: 378,172 ns/op
Iteration  41: 377,531 ns/op
Iteration  42: 377,234 ns/op
Iteration  43: 377,441 ns/op
Iteration  44: 387,274 ns/op
Iteration  45: 378,747 ns/op
Iteration  46: 382,169 ns/op
Iteration  47: 380,403 ns/op
Iteration  48: 379,403 ns/op
Iteration  49: 379,880 ns/op
Iteration  50: 378,054 ns/op
Iteration  51: 378,738 ns/op
Iteration  52: 377,490 ns/op
Iteration  53: 382,895 ns/op
Iteration  54: 378,640 ns/op
Iteration  55: 380,900 ns/op
Iteration  56: 377,547 ns/op
Iteration  57: 379,545 ns/op
Iteration  58: 377,870 ns/op
Iteration  59: 378,261 ns/op
Iteration  60: 382,670 ns/op
Iteration  61: 377,476 ns/op
Iteration  62: 380,396 ns/op
Iteration  63: 378,538 ns/op
Iteration  64: 378,674 ns/op
Iteration  65: 377,373 ns/op
Iteration  66: 380,180 ns/op
Iteration  67: 382,577 ns/op
Iteration  68: 379,946 ns/op
Iteration  69: 380,001 ns/op
Iteration  70: 378,531 ns/op
Iteration  71: 376,495 ns/op
Iteration  72: 375,762 ns/op
Iteration  73: 377,737 ns/op
Iteration  74: 378,353 ns/op
Iteration  75: 377,310 ns/op
Iteration  76: 376,416 ns/op
Iteration  77: 379,140 ns/op
Iteration  78: 386,980 ns/op
Iteration  79: 378,560 ns/op
Iteration  80: 376,244 ns/op
Iteration  81: 376,199 ns/op
Iteration  82: 377,893 ns/op
Iteration  83: 378,122 ns/op
Iteration  84: 380,388 ns/op
Iteration  85: 377,883 ns/op
Iteration  86: 379,097 ns/op
Iteration  87: 376,852 ns/op
Iteration  88: 378,014 ns/op
Iteration  89: 382,299 ns/op
Iteration  90: 376,220 ns/op
Iteration  91: 377,248 ns/op
Iteration  92: 379,061 ns/op
Iteration  93: 377,902 ns/op
Iteration  94: 381,719 ns/op
Iteration  95: 375,765 ns/op
Iteration  96: 380,529 ns/op
Iteration  97: 378,074 ns/op
Iteration  98: 377,826 ns/op
Iteration  99: 377,934 ns/op
Iteration 100: 375,740 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  378,593 ±(99.9%) 0,794 ns/op [Average]
  (min, avg, max) = (374,926, 378,593, 387,274), stdev = 2,341
  CI (99.9%): [377,799, 379,387] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                          (className)               (fileName)  Mode  Cnt    Score   Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Objects  /objects/objects-2.json  avgt  100  378,593 ± 0,794  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Objects, fileName = /objects/objects-6.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 934,344 ns/op
# Warmup Iteration   2: 872,793 ns/op
# Warmup Iteration   3: 880,778 ns/op
Iteration   1: 876,435 ns/op
Iteration   2: 875,245 ns/op
Iteration   3: 875,858 ns/op
Iteration   4: 877,285 ns/op
Iteration   5: 876,567 ns/op
Iteration   6: 876,492 ns/op
Iteration   7: 881,919 ns/op
Iteration   8: 876,209 ns/op
Iteration   9: 875,438 ns/op
Iteration  10: 875,497 ns/op
Iteration  11: 878,231 ns/op
Iteration  12: 876,671 ns/op
Iteration  13: 875,950 ns/op
Iteration  14: 886,038 ns/op
Iteration  15: 888,984 ns/op
Iteration  16: 887,498 ns/op
Iteration  17: 886,411 ns/op
Iteration  18: 883,184 ns/op
Iteration  19: 882,900 ns/op
Iteration  20: 893,304 ns/op
Iteration  21: 899,473 ns/op
Iteration  22: 894,903 ns/op
Iteration  23: 887,286 ns/op
Iteration  24: 888,251 ns/op
Iteration  25: 898,949 ns/op
Iteration  26: 896,469 ns/op
Iteration  27: 889,105 ns/op
Iteration  28: 888,993 ns/op
Iteration  29: 887,614 ns/op
Iteration  30: 903,218 ns/op
Iteration  31: 888,409 ns/op
